"","MGH200_FFPE_072716","MGH530_FFPE_091916","MGH530_FFPE_032417","MGH42_112414_1_bam","MGH42_122914_1_bam","MGH42_122914_2_1_bam","MGHIPIPD1001_092414_bam","MGHIPIPD1001_070215_1_bam","MGHIPIPD1001_070215_2_bam","MGHIPIPD1001_070715_1_bam","MGHIPIPD1001_070715_2_bam","MGHIPIPD1001_070715_3_bam","MGH27_070213_bam","MGH39_082514_1_bam","MGH39_082514_2_bam","MGH39_082514_3_bam","MGH39_082514_4_bam","MGH39_082514_5_bam","MGH39_103114_bam","MGH99_041914_bam","MGH148_123114_1_bam","MGH148_123114_2_bam","MGH208_051315_bam","MGH253_070616_bam","MGH62_5_27_14_S7","MGH62_7_8_14_S8","MGH51_081413","MGH51_041814","MGH422_110515","MGHPDL002_080112","MGH98_051514"
"COMPLEMENT_CASCADE",0.0888898958263928,0.209907122001308,0.180363372184319,0.0522035226948693,0.0551783309642786,0.055332929630374,-0.00561673843093952,0.00620543792739652,0.0980087002743304,0.110758027816572,-0.0107237935764353,0.00332116402681031,0.0482390736293509,0.0330102441972121,0.133802779326391,0.0905367939930858,0.0198008183204525,0.0973393945183876,0.0557754791848112,-0.0591082452559929,0.0394153264732001,0.00103256914645166,-0.0140561705437298,-0.118386713671727,-0.287359933047031,-0.342572886846855,-0.0121425193199363,0.0556482403688051,0.0744854896311158,0.0700531707029403,0.063630813604699
"IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",0.107157179964415,0.342692475901229,0.406163251874356,0.315553956686818,0.308256162627823,0.340968442531973,0.0553642429821689,0.122531315162458,0.215639509082009,0.137270404245638,-0.0208051820514304,0.0169608688774259,0.319824781972846,0.193193717247808,0.454110192935065,0.37551331514146,0.250967122470154,0.446059211524944,0.346868281750219,0.157910232601307,0.212650371471391,0.140312587757579,0.197266501674522,-0.0446811945379492,-0.00626038742782124,-0.0777451441375059,0.130789453075941,0.361607955102009,0.424941224739211,0.298876041356651,0.35433352315394
"INITIAL_TRIGGERING_OF_COMPLEMENT",0.347350013637468,0.544456516203819,0.398599937721174,0.263646601378681,0.273405813368753,0.272291414398884,0.111229433194247,0.132513983462549,0.247208185889964,0.294636600665321,0.161848259781073,0.176107634053602,0.230623610235151,0.222160071175935,0.309157231888156,0.269674832043362,0.185461754633621,0.276301131824353,0.242985619340195,0.0983764498051407,0.256844283489637,0.216072677024063,0.175197411183221,0.0195463762948364,-0.144394853228026,-0.185874614368093,0.189986699076681,0.266803627083527,0.267385669304612,0.28325769151676,0.275757064236924
"PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS",0.0730973265971643,0.11259735781932,0.0977058804540283,-0.0582509482621411,-0.0753285623028458,-0.0582513388723086,-0.0545320291761407,-0.0934832961185705,0.0366943111970898,0.136154641494826,0.0662624972944715,0.0594017540091313,-0.0499874461864964,0.000391095706345201,0.0709075448701817,0.0205616699086398,-0.0876942958058338,0.0158684350565038,-0.0557564569690902,-0.138385027252841,-0.0599363574322681,-0.0722743552180327,-0.0747978038143238,-0.0644570130823826,-0.27773601277958,-0.213267843695194,0.103437048704173,-0.0503715347220201,-0.0220754431223467,0.00684282857052478,0.10543221662351
"PEROXISOMAL_LIPID_METABOLISM",0.203545929373695,0.200770179408552,0.224432381368327,0.129212246293651,0.135772453281368,0.121858979387271,0.257144584730708,0.259052653402131,0.288060052191757,0.331852014326769,0.269474804862396,0.281639032035704,0.162067252061654,0.144958253167195,0.178180642000904,0.181442750702661,0.177406817784072,0.177812727795758,0.193839861051675,0.144691033993752,0.194926715918189,0.185736562497851,0.139783570043303,0.0400268370641775,0.405796186219383,0.264066857888008,0.134814188629995,0.164819921366852,0.0661700618437483,0.131701061211503,0.176700500748034
"SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL",-0.100135634634351,-0.00837100346506428,-0.0258942128562616,-0.0458392740705174,-0.0339815553851588,-0.0926013024167603,-0.0273857712204605,-0.0774861312379063,0.0333040753327712,0.166020146242063,0.0595809789638297,0.0528635802261416,-0.0957357676252824,-0.0325546067980202,0.0627194660403805,0.0366694809111079,-0.041559297201203,-0.0132076164018994,-0.0429120806908596,-0.101766890726457,-0.0794171027349729,-0.0871920183512742,-0.0598357064317759,-0.133602540854939,-0.122762892083691,-0.276671931004308,0.0611595551645142,-0.0258589743107056,-0.141451516986231,-0.0618165529502447,0.00601418327220917
"GENERATION_OF_SECOND_MESSENGER_MOLECULES",0.293700205434817,0.562739576768494,0.632901138574552,0.474136735755144,0.475563077427834,0.477632277114815,0.20640808133068,0.145130236151051,0.226938005508207,0.270507546224449,0.23656819832486,0.198063590529575,0.43312325998042,0.325051464807589,0.482503223309228,0.450908165611751,0.351713740089803,0.507274007130727,0.448641439194374,0.341877607738901,0.390738010626871,0.291967676024514,0.392269694938373,-0.000306475998499073,0.106595278113705,0.0353207799924804,0.345889667911387,0.509204188144851,0.593989414797666,0.446976332561553,0.525622310925245
"FATTY_ACID_METABOLISM",0.273616294169564,0.279252186895977,0.278935002036757,0.136051757307568,0.136877194807965,0.144396253085449,0.175765479666654,0.177425104273044,0.246727716101233,0.302748423254318,0.258322910720018,0.273317149419462,0.156283375719511,0.1762656035125,0.228924966668894,0.221489601136418,0.179781492421869,0.230307247489619,0.198871800653448,0.147417188266978,0.175630313429153,0.156938009903064,0.121973569340702,0.0698440581530874,0.350489323228737,0.232975531130159,0.211432564356445,0.169487712475501,0.154304374866921,0.157339893733292,0.246610848003258
"PEROXISOMAL_PROTEIN_IMPORT",0.279014222048735,0.175109748853403,0.177455085420952,0.181513568882022,0.177189256674535,0.172490944903505,0.245086583426048,0.253006399826899,0.278400845611635,0.325625777946856,0.263715869659062,0.283928725222852,0.191813722158018,0.171232355806377,0.229777041541036,0.223974223752161,0.22435138337538,0.22348987680145,0.223610451563174,0.168218909426468,0.189166365940665,0.191217729877536,0.167499268813319,0.0796285039339659,0.401441643189832,0.21853615838136,0.16102419182152,0.190224936437833,0.100091947166185,0.142288128610145,0.189622904402673
"BIOLOGICAL_OXIDATIONS",0.0183024018989971,-0.0138995087069289,-0.0770075177256348,-0.110458769857568,-0.127462363603061,-0.084423045814553,-0.101632078602616,-0.119865368491887,-0.0390605534705547,0.029331422928468,0.00680311374521677,0.0171389020750384,-0.077188832665034,-0.0546039193329978,-0.00328973246008295,-0.0442133255159631,-0.117674340020942,-0.0319427278370188,-0.0840004387429095,-0.144644220385918,-0.0752069503706055,-0.088840490101912,-0.0936843848694709,-0.139029982498122,-0.282378615836561,-0.288634450709927,0.0269255638620399,-0.0787659860686363,-0.0514053888771122,-0.0570337246226749,0.0367625529075241
